[DEBUG] [2023-02-01 00:00:29] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 359, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2023-02-01 00:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:30] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:30] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 360, groupId: 1
[DEBUG] [2023-02-01 00:00:30] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 360, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2023-02-01 00:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:30] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:30] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 360, groupId: 1
[DEBUG] [2023-02-01 00:00:30] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 360, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2023-02-01 00:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:30] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:30] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 361, groupId: 1
[DEBUG] [2023-02-01 00:00:30] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 361, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2023-02-01 00:00:30] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:30] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:30] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 361, groupId: 1
[DEBUG] [2023-02-01 00:00:30] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 361, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2023-02-01 00:00:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:31] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:31] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 362, groupId: 1
[DEBUG] [2023-02-01 00:00:31] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 362, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2023-02-01 00:00:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
