[DEBUG] [2021-05-28 18:01:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4f482d4000bb49cfaf438707d1d5f147, msgType : 18
[DEBUG] [2021-05-28 18:01:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f8eab5b0ed95468397aa4f78d3926039, msgType : 18
[DEBUG] [2021-05-28 18:01:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5073506961f34f13bcce3b079b556e86, msgType : 19
[DEBUG] [2021-05-28 18:01:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 05dda5e505154ee8b14ecb493c5f1865, msgType : 19
[DEBUG] [2021-05-28 18:01:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c5524019cdf942f498f8c7ea766d1ac5, msgType : 19
[DEBUG] [2021-05-28 18:01:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 47215131378c4ad6b1116fc222cab05b, msgType : 19
[DEBUG] [2021-05-28 18:01:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b30c566aaacd4b7fac79e37e5065d7ba, msgType : 19
[DEBUG] [2021-05-28 18:01:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 91c2b70246544a7f936acc68a4eddc1b, msgType : 19
[DEBUG] [2021-05-28 18:01:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8ac326f1411341e4acb7356b789c3957, msgType : 19
[DEBUG] [2021-05-28 18:01:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e1789c3d209149399292cf4b43c5287e, msgType : 19
