[DEBUG] [2021-05-27 12:00:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f7346ed512e04ad29a83438a9c5e5a8e, msgType : 19
[DEBUG] [2021-05-27 12:00:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4be666493c9a4770929f1b16f4b24c0f, msgType : 19
[DEBUG] [2021-05-27 12:00:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 64c5bccc406a41408c715bdf8217d140, msgType : 19
[DEBUG] [2021-05-27 12:00:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 56464e5c70424ccc9ee25b81b1b455b2, msgType : 19
[DEBUG] [2021-05-27 12:00:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cb386bf558da4178a2890d450dc4429f, msgType : 19
[DEBUG] [2021-05-27 12:00:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e088437eff57416a910599ea7b11254a, msgType : 19
[DEBUG] [2021-05-27 12:01:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a674796aa9b34e37a894a944a93b6360, msgType : 19
[DEBUG] [2021-05-27 12:01:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5e7c9c55c6d54c518ff07722b6802f29, msgType : 19
[DEBUG] [2021-05-27 12:01:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5d05d64bbce646b19ddd93e17c4e58b6, msgType : 19
[DEBUG] [2021-05-27 12:01:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ebcc27d68eb043c7b7ba765c8ea4c3e1, msgType : 19
